Date,SKU,Price,Demand
2023-03-24,product_2,12,204
2023-03-25,product_0,5,52
2023-03-25,product_2,12,100
2023-03-26,product_0,5,3
2023-03-26,product_2,12,141
2023-03-27,product_0,5,345
2023-03-27,product_2,12,381
2023-03-28,product_0,5,592
2023-03-28,product_2,12,258
2023-03-29,product_0,5,334
2023-03-29,product_2,12,330
2023-03-30,product_0,5,472
2023-03-30,product_2,12,320
2023-03-31,product_0,5,169
2023-03-31,product_2,12,236
2023-04-01,product_0,5,63
2023-04-01,product_2,12,61
2023-04-02,product_0,5,198
2023-04-02,product_2,12,102
2023-04-03,product_0,5,454
2023-04-03,product_2,12,291
2023-04-04,product_0,5,90
2023-04-04,product_2,12,102
2023-04-05,product_0,5,510
2023-04-05,product_2,12,168
2023-04-06,product_0,5,334
2023-04-06,product_2,12,361
2023-04-07,product_0,5,469
2023-04-07,product_2,12,291
2023-04-08,product_0,5,231
2023-04-08,product_2,12,214
2023-04-09,product_0,5,391
2023-04-09,product_2,12,325
2023-04-10,product_0,5,86
2023-04-10,product_2,12,113
